2025-02-19 01:50:05,636 [INFO]: 🚀 Starting AlphaZero Training for Tic-Tac-Toe
2025-02-19 01:50:06,044 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,047 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,049 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,051 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,053 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,056 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,058 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,059 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,071 [INFO]: 🏆 Episode 0: Winner = -1, Loss = 8.2262
2025-02-19 01:50:06,073 [INFO]: 💾 Model checkpoint saved at Episode 0
2025-02-19 01:50:06,076 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,079 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,081 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,084 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,086 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,088 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,091 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,093 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,096 [INFO]: 🏆 Episode 1: Winner = -1, Loss = 8.0030
2025-02-19 01:50:06,099 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,101 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,103 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,106 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,108 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,112 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,114 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,116 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,118 [INFO]: 🏆 Episode 2: Winner = -1, Loss = 7.8791
2025-02-19 01:50:06,121 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,123 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,126 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,128 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,130 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,133 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,134 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,136 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,139 [INFO]: 🏆 Episode 3: Winner = -1, Loss = 7.7681
2025-02-19 01:50:06,141 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,143 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,146 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,148 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,150 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
